Step_Index,Voltage,Test_Time,SoC,discharge_new
1,4.17,6551.0,0.9023295654151208,1.7023068888888888
1,3.97,8148.0,0.9359283606106948,1.7650757222222222
1,4.0,8328.0,0.9628147806341004,1.8153045833333328
1,4.01,8508.0,0.9772117302138422,1.8422007777777776
1,4.01,8688.0,0.9860875070309176,1.858782388888889
1,4.02,8868.0,0.9920693462570136,1.8699575833333333
1,4.02,9048.0,0.9963495803336248,1.877953861111111
1,4.02,9228.0,0.99964744488689,1.884114888888889
2,3.97,158.0,0.9905994571415516,1.8672415833333336
2,3.94,338.0,0.9798878987446132,1.8472303888888888
2,3.92,518.0,0.969178689624714,1.8272235833333328
2,3.9,698.0,0.958465198278313,1.8072087777777777
2,3.88,878.0,0.9477517366695962,1.7871940277777778
2,3.87,1058.0,0.9370361339476286,1.7671752777777778
2,3.86,1238.0,0.9263229697157522,1.7471610833333333
2,3.84,1418.0,0.9156095824512456,1.727146472222222
2,3.83,1598.0,0.9048942176307504,1.707128166666667
2,3.82,1778.0,0.8941795813835139,1.6871112222222222
2,3.8,1958.0,0.8834684690518361,1.667100861111111
2,3.79,2138.0,0.8727612820944513,1.6470978333333333
2,3.78,2318.0,0.8620500359431953,1.627087222222222
2,3.77,2498.0,0.8513360687938498,1.6070715277777778
2,3.76,2678.0,0.840620287645778,1.5870524444444445
2,3.75,2858.0,0.8299055175789636,1.56703525
2,3.74,3038.0,0.8191915652984602,1.5470195833333331
2,3.73,3218.0,0.8084764829859632,1.5270018055555554
2,3.72,3398.0,0.7977624860989337,1.5069860555555556
2,3.7,3578.0,0.7870460507218131,1.48696575
2,3.7,3758.0,0.7763319497528895,1.4669498055555557
2,3.68,3938.0,0.7656261753354965,1.4469494166666663
2,3.67,4118.0,0.7549135017754067,1.4269361388888888
2,3.66,4298.0,0.7442014229689976,1.4069239722222222
2,3.65,4478.0,0.7334828762163104,1.386899722222222
2,3.64,4658.0,0.7227672288878166,1.3668808888888888
2,3.63,4838.0,0.7120537524102579,1.346866111111111
2,3.62,5018.0,0.7013395473594402,1.3268499722222222
2,3.61,5198.0,0.6906251192759921,1.3068334166666666
2,3.6,5378.0,0.6799127579615847,1.286820722222222
2,3.59,5558.0,0.6692003223029671,1.2668078888888887
2,3.58,5738.0,0.6584904292163349,1.2467998055555556
2,3.57,5918.0,0.6477802238840201,1.2267911388888888
2,3.56,6098.0,0.6370709701575947,1.20678425
2,3.55,6278.0,0.6263554120421533,1.1867655833333333
2,3.55,6458.0,0.6156436752191106,1.1667540555555556
2,3.54,6638.0,0.6049321316910142,1.1467428888888889
2,3.53,6818.0,0.5942161126414702,1.1267233611111112
2,3.52,6998.0,0.5835003314933984,1.1067042777777778
2,3.51,7178.0,0.572784119148908,1.0866843888888889
2,3.5,7358.0,0.5620703452945088,1.0666690555555556
2,3.5,7538.0,0.5513569580300022,1.0466544444444446
2,3.49,7718.0,0.5406439424865459,1.0266405277777777
2,3.48,7898.0,0.5299262878643798,1.0066179444444443
2,3.47,8078.0,0.5192130641571353,0.9866036388888888
2,3.46,8258.0,0.508500806924622,0.9665911388888888
2,3.46,8438.0,0.4977899027567324,0.9465811666666666
2,3.45,8618.0,0.4870793851787354,0.9265719166666666
2,3.45,8798.0,0.4763621022776196,0.9065500277777778
2,3.44,8978.0,0.4656474214238573,0.886533
2,3.44,9158.0,0.4549368741081762,0.8665236944444444
2,3.43,9338.0,0.4442241410727183,0.8465103055555556
2,3.43,9518.0,0.4335129395279884,0.8264997777777778
2,3.42,9698.0,0.4228014852129441,0.8064887777777778
2,3.42,9878.0,0.4120872950309683,0.7864726666666667
2,3.42,10058.0,0.4013756176832939,0.76646125
2,3.41,10238.0,0.3906642971878277,0.7464505
2,3.41,10418.0,0.3799499731862737,0.7264341388888889
2,3.41,10598.0,0.3692353518078795,0.7064172222222223
2,3.4,10778.0,0.3585217415107425,0.6864021944444445
2,3.4,10958.0,0.3478079081809752,0.66638675
2,3.4,11138.0,0.3370927217865842,0.6463687777777778
2,3.39,11318.0,0.3263832152898444,0.6263614166666667
2,3.39,11498.0,0.3156689210259745,0.6063451111111111
2,3.39,11678.0,0.3049555486303098,0.5863305277777778
2,3.38,11858.0,0.2942440794464236,0.5663195
2,3.38,12038.0,0.2835275697250928,0.5462990555555556
2,3.4,12276.0,0.2728162938361528,0.5262883888888888
2,3.4,12456.0,0.2621081701417207,0.5062836111111111
2,3.4,12636.0,0.2513943368119534,0.4862681666666666
2,3.39,12816.0,0.2406810684981829,0.4662537777777777
2,3.39,12996.0,0.2299670716111533,0.4462380277777777
2,3.38,13374.0,0.2074723127664488,0.4042136111111111
2,3.37,13554.0,0.1967585983874176,0.3841983888888889
2,3.37,13734.0,0.1860461924664841,0.364185611111111
2,3.36,13914.0,0.1753344853811256,0.3441741388888889
2,3.36,14094.0,0.1646217374768256,0.3241607222222222
2,3.35,14274.0,0.1539086624580012,0.3041466944444444
2,3.34,14454.0,0.1431927474903513,0.2841273611111111
2,3.34,14634.0,0.1324825124203525,0.2641186388888888
2,3.35,14874.0,0.1217748347911811,0.2441146944444444
2,3.33,15054.0,0.1110637521971874,0.2241043888888889
2,3.32,15234.0,0.1003543497823418,0.2040972222222222
2,3.3,15414.0,0.0896374237334346,0.1840760000000001
2,3.3,15655.0,0.0789215385034686,0.1640567222222222
2,3.32,15896.0,0.0682052369459261,0.1440366666666667
2,3.27,16076.0,0.0574961021702368,0.1240299999999999
2,3.25,16316.0,0.0467815997425786,0.1040133055555555
2,3.34,16616.0,0.0360687477563848,0.0839996944444444
2,3.25,16856.0,0.0253539479518862,0.0639824444444445
2,2.99,17036.0,0.0146422259976854,0.0439709444444444
2,2.67,17216.0,0.0039288536020207,0.0239563611111111
1,4.0,331.0,0.9762667770643156,0.0329900833333333
1,4.02,511.0,0.9908370882196432,0.0619719722222222
1,4.02,691.0,0.9978905372116909,0.0760020277777777
2,3.98,91.0,0.994911713883703,0.0701152222222222
2,3.95,271.0,0.9848522517901506,0.0501058888888888
2,3.92,451.0,0.9747919378341507,0.0300948611111111
2,3.91,631.0,0.9647301715225036,0.0100809444444444
2,3.89,811.0,0.954668181771526,-0.0099334166666666
2,3.87,991.0,0.9446019047783968,-0.0299563055555555
2,3.86,1171.0,0.9345393564290932,-0.0499717777777777
2,3.85,1351.0,0.9244800898449548,-0.0699807222222222
2,3.84,1531.0,0.9144135475176204,-0.0900041388888889
2,3.82,1711.0,0.9043500216212464,-0.1100215555555555
2,3.81,1891.0,0.8942906991772754,-0.1300306111111111
2,3.8,2071.0,0.8842267822620732,-0.1500488055555555
2,3.79,2251.0,0.8741639546136067,-0.1700648333333333
2,3.78,2431.0,0.8641006521565631,-0.1900818055555555
2,3.77,2611.0,0.8540374195243102,-0.2100986388888889
2,3.76,2791.0,0.8439770916033524,-0.2301096944444444
2,3.74,3190.0,0.8216736988377175,-0.2744735
2,3.73,3370.0,0.8116113041029536,-0.2944886666666667
2,3.72,3550.0,0.8015472335732117,-0.3145071666666666
2,3.71,3730.0,0.791477381550796,-0.3345371666666666
2,3.7,3910.0,0.7814202516052544,-0.3545418611111111
2,3.68,4310.0,0.7590638897533586,-0.3990110277777778
2,3.67,4490.0,0.7490012715792642,-0.4190266388888888
2,3.64,5108.0,0.7144673405364121,-0.4877182777777777
2,3.62,5288.0,0.704411551226853,-0.5077203055555555
2,3.62,5468.0,0.6943523823974216,-0.5277290555555555
2,3.6,5866.0,0.6721117062588359,-0.5719681111111111
2,3.59,6046.0,0.6620443260340125,-0.5919931944444444
2,3.58,6226.0,0.6519792360623258,-0.6120137222222222
2,3.57,6406.0,0.6419166458181479,-0.6320292777777778
2,3.56,6586.0,0.6318570021801394,-0.6520389722222222
2,3.49,8089.0,0.54783537911824,-0.8191668611111111
2,3.49,8269.0,0.5377768806067997,-0.8391742777777778
2,3.48,8449.0,0.5277201835749609,-0.8591781111111111
2,3.46,8851.0,0.5052430248350721,-0.9038875555555556
2,3.45,9031.0,0.4951801692566892,-0.9239036388888888
2,3.45,9211.0,0.4851176628022601,-0.9439190277777778
2,3.44,9391.0,0.4750568740376835,-0.963931
2,3.44,9573.0,0.4648859715780982,-0.984162
2,3.43,9753.0,0.4548240376869531,-1.00417625
2,3.43,9933.0,0.4447580818878611,-1.0241985
2,3.42,10113.0,0.4346955475035158,-1.0442139444444445
2,3.42,10293.0,0.4246344375449017,-1.0642265555555557
2,3.42,10473.0,0.4145717076511421,-1.0842423888888888
2,3.42,10653.0,0.4045130136302879,-1.1042501944444445
2,3.41,10833.0,0.3944541659948939,-1.1242583055555555
2,3.41,11013.0,0.384392427613163,-1.1442721666666666
2,3.41,11193.0,0.3743300887382318,-1.1642872222222225
2,3.4,11373.0,0.3642705987147629,-1.184296611111111
2,3.4,11775.0,0.3417986349393058,-1.2289957222222223
2,3.39,11955.0,0.3317353464472203,-1.2490126666666668
2,3.39,12135.0,0.3216688739446768,-1.2690359444444443
2,3.39,12315.0,0.3116111714358511,-1.2890417777777778
2,3.39,12495.0,0.3015539437356025,-1.3090466666666667
2,3.38,12675.0,0.29149131159655,-1.3290623055555555
2,3.4,13291.0,0.2605800582771668,-1.3905480555555556
2,3.4,13471.0,0.2505201772348697,-1.4105582222222222
2,3.39,13651.0,0.2404588019420508,-1.430571361111111
2,3.39,13831.0,0.2303971613150268,-1.450585027777778
2,3.38,14230.0,0.2080932239160242,-1.4949499166666669
2,3.36,14849.0,0.1734876247079489,-1.563784111111111
2,3.36,15029.0,0.1634267800835397,-1.5837961944444443
2,3.35,15209.0,0.1533683374319321,-1.6038035
2,3.34,15389.0,0.1433080933007232,-1.623814388888889
2,3.33,15569.0,0.1332463828489086,-1.6438281944444444
2,3.32,15749.0,0.1231850634159221,-1.663841222222222
2,3.33,15990.0,0.1131261599206956,-1.6838494444444445
2,3.32,16172.0,0.1029551736713615,-1.704080611111111
2,3.3,16352.0,0.0928923041280206,-1.724096722222222
2,3.29,16532.0,0.0828296999188843,-1.7441123055555554
2,3.3,16773.0,0.0727671515695809,-1.7641277777777775
2,3.29,17014.0,0.0627022571073081,-1.7841479166666665
2,3.29,17251.0,0.0526417476418945,-1.8041593333333328
2,3.23,17431.0,0.0425840870279432,-1.8241650833333327
2,3.23,17731.0,0.0325246528643071,-1.844174361111111
2,3.15,17970.0,0.0224663079674064,-1.864181472222222
